"PCN_Code","PCN_Name","Sex","Age_group","EXTRACT_DATE","Patients","Proportion"
"U04725","Haywards Heath Central PCN","Female","45-49 years","1st -Ju l-22",1197,0.0359783588818756
"U04725","Haywards Heath Central PCN","Female","50-54 years","1st -Ju l-22",1162,0.0349263600841599
"U04725","Haywards Heath Central PCN","Female","55-59 years","1st -Ju l-22",1075,0.0323113916441238
"U04725","Haywards Heath Central PCN","Female","60-64 years","1st -Ju l-22",885,0.0266005410279531
"U04725","Haywards Heath Central PCN","Female","65-69 years","1st -Ju l-22",753,0.0226330027051398
"U04725","Haywards Heath Central PCN","Female","70-74 years","1st -Ju l-22",853,0.0256387135557559
"U04725","Haywards Heath Central PCN","Female","75-79 years","1st -Ju l-22",768,0.0230838593327322
"U04725","Haywards Heath Central PCN","Female","80-84 years","1st -Ju l-22",544,0.016351067027352
"U04725","Haywards Heath Central PCN","Female","85-89 years","1st -Ju l-22",395,0.0118725578599339
"U04725","Haywards Heath Central PCN","Female","90-94 years","1st -Ju l-22",234,0.00703336339044184
"U04725","Haywards Heath Central PCN","Female","95+ years","1st -Ju l-22",89,0.00267508265704839
"U04725","Haywards Heath Central PCN","Male","0-4 years","1st -Ju l-22",903,0.027141568981064
"U04725","Haywards Heath Central PCN","Male","5-9 years","1st -Ju l-22",1044,0.0313796212804328
"U04725","Haywards Heath Central PCN","Male","10-14 years","1st -Ju l-22",1100,0.0330628193567779
"U04725","Haywards Heath Central PCN","Male","15-19 years","1st -Ju l-22",1045,0.031409678388939
"U04725","Haywards Heath Central PCN","Male","20-24 years","1st -Ju l-22",702,0.0211000901713255
"U04725","Haywards Heath Central PCN","Male","25-29 years","1st -Ju l-22",808,0.0242861436729787
"U04725","Haywards Heath Central PCN","Male","30-34 years","1st -Ju l-22",1039,0.031229335737902
"U04725","Haywards Heath Central PCN","Male","35-39 years","1st -Ju l-22",1182,0.0355275022542831
"U04725","Haywards Heath Central PCN","Male","40-44 years","1st -Ju l-22",1267,0.0380823564773069
"U04725","Haywards Heath Central PCN","Male","45-49 years","1st -Ju l-22",1280,0.038473098887887
"U04725","Haywards Heath Central PCN","Male","50-54 years","1st -Ju l-22",1185,0.0356176735798016
"U04725","Haywards Heath Central PCN","Male","55-59 years","1st -Ju l-22",1049,0.0315299068229636
"U04725","Haywards Heath Central PCN","Male","60-64 years","1st -Ju l-22",876,0.0263300270513977
"U04725","Haywards Heath Central PCN","Male","65-69 years","1st -Ju l-22",708,0.0212804328223625
"U04725","Haywards Heath Central PCN","Male","70-74 years","1st -Ju l-22",692,0.0207995190862639
"U04725","Haywards Heath Central PCN","Male","75-79 years","1st -Ju l-22",659,0.0198076345055606
"U04725","Haywards Heath Central PCN","Male","80-84 years","1st -Ju l-22",415,0.0124737000300571
"U04725","Haywards Heath Central PCN","Male","85-89 years","1st -Ju l-22",250,0.00751427712654043
"U04725","Haywards Heath Central PCN","Male","90-94 years","1st -Ju l-22",101,0.00303576795912233
"U04725","Haywards Heath Central PCN","Male","95+ years","1st -Ju l-22",27,0.000811541929666366
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","0-4 years","1st -Ju l-22",620,0.0214540295511955
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","5-9 years","1st -Ju l-22",749,0.025917851828783
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","10-14 years","1st -Ju l-22",793,0.0274403958614485
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","15-19 years","1st -Ju l-22",716,0.0247759438042839
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","20-24 years","1st -Ju l-22",657,0.0227343506695733
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","25-29 years","1st -Ju l-22",789,0.0273019827675698
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","30-34 years","1st -Ju l-22",892,0.0308661199349458
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","35-39 years","1st -Ju l-22",867,0.0300010380982041
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","40-44 years","1st -Ju l-22",863,0.0298626250043254
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","45-49 years","1st -Ju l-22",817,0.0282708744247206
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","50-54 years","1st -Ju l-22",1008,0.0348800996574276
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","55-59 years","1st -Ju l-22",996,0.0344648603757916
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","60-64 years","1st -Ju l-22",914,0.0316273919512786
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","65-69 years","1st -Ju l-22",834,0.028859130073705
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","70-74 years","1st -Ju l-22",905,0.0313159624900516
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","75-79 years","1st -Ju l-22",902,0.0312121526696425
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","80-84 years","1st -Ju l-22",597,0.0206581542613931
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","85-89 years","1st -Ju l-22",393,0.0135990864735804
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","90-94 years","1st -Ju l-22",218,0.00754351361638811
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Female","95+ years","1st -Ju l-22",72,0.00249143568981626
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","0-4 years","1st -Ju l-22",669,0.0231495899512094
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","5-9 years","1st -Ju l-22",822,0.0284438907920689
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","10-14 years","1st -Ju l-22",881,0.0304854839267795
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","15-19 years","1st -Ju l-22",720,0.0249143568981626
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","20-24 years","1st -Ju l-22",663,0.0229419703103914
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","25-29 years","1st -Ju l-22",747,0.0258486452818437
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","30-34 years","1st -Ju l-22",949,0.032838506522717
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","35-39 years","1st -Ju l-22",921,0.0318696148655663
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","40-44 years","1st -Ju l-22",898,0.0310737395757639
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","45-49 years","1st -Ju l-22",795,0.0275096024083878
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","50-54 years","1st -Ju l-22",1049,0.0362988338696841
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","55-59 years","1st -Ju l-22",1068,0.0369562960656078
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","60-64 years","1st -Ju l-22",862,0.0298280217308557
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","65-69 years","1st -Ju l-22",788,0.0272673794941001
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","70-74 years","1st -Ju l-22",808,0.0279594449634935
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","75-79 years","1st -Ju l-22",747,0.0258486452818437
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","80-84 years","1st -Ju l-22",488,0.0168863974531991
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","85-89 years","1st -Ju l-22",288,0.00996574275926503
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","90-94 years","1st -Ju l-22",106,0.00366794698778504
"U04748","Angmering Coppice Fitzalan (ACF) PCN","Male","95+ years","1st -Ju l-22",28,0.000968891657150766
"U05632","Seaford PCN","Female","0-4 years","1st -Ju l-22",493,0.0178875947897391
"U05632","Seaford PCN","Female","5-9 years","1st -Ju l-22",581,0.0210805123181307
"U05632","Seaford PCN","Female","10-14 years","1st -Ju l-22",621,0.0225318384673996
"U05632","Seaford PCN","Female","15-19 years","1st -Ju l-22",550,0.0199557345524473
"U05632","Seaford PCN","Female","20-24 years","1st -Ju l-22",461,0.016726533870324
"U05632","Seaford PCN","Female","25-29 years","1st -Ju l-22",540,0.0195929030151301
"U05632","Seaford PCN","Female","30-34 years","1st -Ju l-22",623,0.022604404774863
"U05632","Seaford PCN","Female","35-39 years","1st -Ju l-22",684,0.0248176771524981
"U05632","Seaford PCN","Female","40-44 years","1st -Ju l-22",697,0.0252893581510105
"U05632","Seaford PCN","Female","45-49 years","1st -Ju l-22",734,0.0266318348390842
"U05632","Seaford PCN","Female","50-54 years","1st -Ju l-22",929,0.0337070498167701
"U05632","Seaford PCN","Female","55-59 years","1st -Ju l-22",1085,0.0393672217989188
"U05632","Seaford PCN","Female","60-64 years","1st -Ju l-22",1066,0.038677841878016
"U05632","Seaford PCN","Female","65-69 years","1st -Ju l-22",1091,0.0395849207213091
"U05632","Seaford PCN","Female","70-74 years","1st -Ju l-22",1223,0.0443742970138964
"U05632","Seaford PCN","Female","75-79 years","1st -Ju l-22",1245,0.0451725263959943
"U05632","Seaford PCN","Female","80-84 years","1st -Ju l-22",717,0.0260150212256449
"U05632","Seaford PCN","Female","85-89 years","1st -Ju l-22",544,0.019738035630057
"U05632","Seaford PCN","Female","90-94 years","1st -Ju l-22",338,0.0122637059613222
"U05632","Seaford PCN","Female","95+ years","1st -Ju l-22",110,0.00399114691048946
"U05632","Seaford PCN","Male","0-4 years","1st -Ju l-22",493,0.0178875947897391
"U05632","Seaford PCN","Male","5-9 years","1st -Ju l-22",621,0.0225318384673996
"U05632","Seaford PCN","Male","10-14 years","1st -Ju l-22",654,0.0237291825405464
"U05632","Seaford PCN","Male","15-19 years","1st -Ju l-22",646,0.0234389173106926
"U05632","Seaford PCN","Male","20-24 years","1st -Ju l-22",513,0.0186132578643736
"U05632","Seaford PCN","Male","25-29 years","1st -Ju l-22",533,0.019338920939008
"U05632","Seaford PCN","Male","30-34 years","1st -Ju l-22",624,0.0226406879285948
"U05632","Seaford PCN","Male","35-39 years","1st -Ju l-22",669,0.0242734298465223
"U05632","Seaford PCN","Male","40-44 years","1st -Ju l-22",640,0.0232212183883023
"U05632","Seaford PCN","Male","45-49 years","1st -Ju l-22",653,0.0236928993868147
"U05632","Seaford PCN","Male","50-54 years","1st -Ju l-22",902,0.0327274046660136
"U05632","Seaford PCN","Male","55-59 years","1st -Ju l-22",1038,0.0376619135735278
"U05632","Seaford PCN","Male","60-64 years","1st -Ju l-22",1030,0.037371648343674
"U05632","Seaford PCN","Male","65-69 years","1st -Ju l-22",963,0.0349406770436486
"U05632","Seaford PCN","Male","70-74 years","1st -Ju l-22",1074,0.0389681071078698
"U05632","Seaford PCN","Male","75-79 years","1st -Ju l-22",1013,0.0367548347302348
"U05632","Seaford PCN","Male","80-84 years","1st -Ju l-22",579,0.0210079460106672
"U05632","Seaford PCN","Male","85-89 years","1st -Ju l-22",386,0.0140052973404448
"U05632","Seaford PCN","Male","90-94 years","1st -Ju l-22",144,0.00522477413736802
"U05632","Seaford PCN","Male","95+ years","1st -Ju l-22",54,0.00195929030151301
"U06871","Burgess Hill & Villages PCN","Female","0-4 years","1st -Ju l-22",1268,0.0250488927520199
"U06871","Burgess Hill & Villages PCN","Female","5-9 years","1st -Ju l-22",1408,0.0278145433713281
"U06871","Burgess Hill & Villages PCN","Female","10-14 years","1st -Ju l-22",1623,0.0320617925366943
"U06871","Burgess Hill & Villages PCN","Female","15-19 years","1st -Ju l-22",1337,0.0264119634143932
"U06871","Burgess Hill & Villages PCN","Female","20-24 years","1st -Ju l-22",1090,0.0215325655360424
"U06871","Burgess Hill & Villages PCN","Female","25-29 years","1st -Ju l-22",1275,0.0251871752829853
"U06871","Burgess Hill & Villages PCN","Female","30-34 years","1st -Ju l-22",1620,0.0320025285948519
"U06871","Burgess Hill & Villages PCN","Female","35-39 years","1st -Ju l-22",1592,0.0314493984709903
"U06871","Burgess Hill & Villages PCN","Female","40-44 years","1st -Ju l-22",1717,0.0339187293810869
"U06871","Burgess Hill & Villages PCN","Female","45-49 years","1st -Ju l-22",1728,0.0341360305011754
"U06871","Burgess Hill & Villages PCN","Female","50-54 years","1st -Ju l-22",1937,0.0382647517828569
"U06871","Burgess Hill & Villages PCN","Female","55-59 years","1st -Ju l-22",1890,0.0373362833606606
"U06871","Burgess Hill & Villages PCN","Female","60-64 years","1st -Ju l-22",1589,0.031390134529148
"U06871","Burgess Hill & Villages PCN","Female","65-69 years","1st -Ju l-22",1332,0.0263131901779894
"U06871","Burgess Hill & Villages PCN","Female","70-74 years","1st -Ju l-22",1356,0.0267873017127279
"U06871","Burgess Hill & Villages PCN","Female","75-79 years","1st -Ju l-22",1335,0.0263724541198317
"U06871","Burgess Hill & Villages PCN","Female","80-84 years","1st -Ju l-22",882,0.0174235989016416
"U06871","Burgess Hill & Villages PCN","Female","85-89 years","1st -Ju l-22",618,0.0122083720195176
"U06871","Burgess Hill & Villages PCN","Female","90-94 years","1st -Ju l-22",333,0.00657829754449734
"U06871","Burgess Hill & Villages PCN","Female","95+ years","1st -Ju l-22",96,0.00189644613895419
"U06871","Burgess Hill & Villages PCN","Male","0-4 years","1st -Ju l-22",1270,0.0250884020465815
"U06871","Burgess Hill & Villages PCN","Male","5-9 years","1st -Ju l-22",1474,0.0291183500918591
"U06871","Burgess Hill & Villages PCN","Male","10-14 years","1st -Ju l-22",1521,0.0300468185140554
"U06871","Burgess Hill & Villages PCN","Male","15-19 years","1st -Ju l-22",1412,0.0278935619604512
"U06871","Burgess Hill & Villages PCN","Male","20-24 years","1st -Ju l-22",1234,0.0243772347444736
"U06871","Burgess Hill & Villages PCN","Male","25-29 years","1st -Ju l-22",1281,0.02530570316667
"U06871","Burgess Hill & Villages PCN","Male","30-34 years","1st -Ju l-22",1540,0.0304221568123901
"U06871","Burgess Hill & Villages PCN","Male","35-39 years","1st -Ju l-22",1661,0.0328124691333636
"U06871","Burgess Hill & Villages PCN","Male","40-44 years","1st -Ju l-22",1590,0.0314098891764288
"U06871","Burgess Hill & Villages PCN","Male","45-49 years","1st -Ju l-22",1681,0.0332075620789791
"U06871","Burgess Hill & Villages PCN","Male","50-54 years","1st -Ju l-22",1856,0.0366646253531143
"U06871","Burgess Hill & Villages PCN","Male","55-59 years","1st -Ju l-22",1817,0.0358941941091642
"U06871","Burgess Hill & Villages PCN","Male","60-64 years","1st -Ju l-22",1470,0.029039331502736
"U06871","Burgess Hill & Villages PCN","Male","65-69 years","1st -Ju l-22",1261,0.0249106102210545
"U06871","Burgess Hill & Villages PCN","Male","70-74 years","1st -Ju l-22",1158,0.0228758815511349
"U06871","Burgess Hill & Villages PCN","Male","75-79 years","1st -Ju l-22",1094,0.0216115841251654
"U06871","Burgess Hill & Villages PCN","Male","80-84 years","1st -Ju l-22",630,0.0124454277868869
"U06871","Burgess Hill & Villages PCN","Male","85-89 years","1st -Ju l-22",432,0.00853400762529385
"U06871","Burgess Hill & Villages PCN","Male","90-94 years","1st -Ju l-22",174,0.00343730862685447
"U06871","Burgess Hill & Villages PCN","Male","95+ years","1st -Ju l-22",39,0.000770431243950139
"U07199","East & Central Brighton 1 PCN","Female","0-4 years","1st -Ju l-22",827,0.0210122465572438
"U07199","East & Central Brighton 1 PCN","Female","5-9 years","1st -Ju l-22",899,0.0228416078052747
"U07199","East & Central Brighton 1 PCN","Female","10-14 years","1st -Ju l-22",971,0.0246709690533056
"U07199","East & Central Brighton 1 PCN","Female","15-19 years","1st -Ju l-22",1105,0.0280756135982519
"U07199","East & Central Brighton 1 PCN","Female","20-24 years","1st -Ju l-22",1751,0.0444890492403069
"U07199","East & Central Brighton 1 PCN","Female","25-29 years","1st -Ju l-22",1747,0.0443874180598608
"U07199","East & Central Brighton 1 PCN","Female","30-34 years","1st -Ju l-22",1685,0.0428121347629453
"U07199","East & Central Brighton 1 PCN","Female","35-39 years","1st -Ju l-22",1551,0.0394074902179989
"U07199","East & Central Brighton 1 PCN","Female","40-44 years","1st -Ju l-22",1324,0.0336399207276793
"U07199","East & Central Brighton 1 PCN","Female","45-49 years","1st -Ju l-22",1319,0.0335128817521216
"U07199","East & Central Brighton 1 PCN","Female","50-54 years","1st -Ju l-22",1487,0.0377813913308603
"U07199","East & Central Brighton 1 PCN","Female","55-59 years","1st -Ju l-22",1355,0.034427562376137
"U07199","East & Central Brighton 1 PCN","Female","60-64 years","1st -Ju l-22",948,0.0240865897657401
"U07199","East & Central Brighton 1 PCN","Female","65-69 years","1st -Ju l-22",755,0.0191828853092129
"U07199","East & Central Brighton 1 PCN","Female","70-74 years","1st -Ju l-22",594,0.0150922302962549
"U07199","East & Central Brighton 1 PCN","Female","75-79 years","1st -Ju l-22",437,0.0111032064637431
"U07199","East & Central Brighton 1 PCN","Female","80-84 years","1st -Ju l-22",292,0.00741907617256974
"U07199","East & Central Brighton 1 PCN","Female","85-89 years","1st -Ju l-22",207,0.00525941358808883
"U07199","East & Central Brighton 1 PCN","Female","90-94 years","1st -Ju l-22",91,0.00231210935515016
"U07199","East & Central Brighton 1 PCN","Female","95+ years","1st -Ju l-22",32,0.000813049443569287
"U07199","East & Central Brighton 1 PCN","Male","0-4 years","1st -Ju l-22",765,0.0194369632603283
"U07199","East & Central Brighton 1 PCN","Male","5-9 years","1st -Ju l-22",906,0.0230194623710554
"U07199","East & Central Brighton 1 PCN","Male","10-14 years","1st -Ju l-22",1059,0.0269068550231211
"U07199","East & Central Brighton 1 PCN","Male","15-19 years","1st -Ju l-22",1015,0.0257889120382133
"U07199","East & Central Brighton 1 PCN","Male","20-24 years","1st -Ju l-22",1528,0.0388231109304335
"U07199","East & Central Brighton 1 PCN","Male","25-29 years","1st -Ju l-22",1602,0.0407032877686874
"U07199","East & Central Brighton 1 PCN","Male","30-34 years","1st -Ju l-22",1726,0.0438538543625184
"U07199","East & Central Brighton 1 PCN","Male","35-39 years","1st -Ju l-22",1703,0.043269475074953
"U07199","East & Central Brighton 1 PCN","Male","40-44 years","1st -Ju l-22",1633,0.0414909294171452
"U07199","East & Central Brighton 1 PCN","Male","45-49 years","1st -Ju l-22",1477,0.0375273133797449
"U07199","East & Central Brighton 1 PCN","Male","50-54 years","1st -Ju l-22",1574,0.0399918695055643
"U07199","East & Central Brighton 1 PCN","Male","55-59 years","1st -Ju l-22",1470,0.0373494588139641
"U07199","East & Central Brighton 1 PCN","Male","60-64 years","1st -Ju l-22",1121,0.0284821383200366
"U07199","East & Central Brighton 1 PCN","Male","65-69 years","1st -Ju l-22",852,0.0216474414350323
"U07199","East & Central Brighton 1 PCN","Male","70-74 years","1st -Ju l-22",648,0.0164642512322781
"U07199","East & Central Brighton 1 PCN","Male","75-79 years","1st -Ju l-22",424,0.0107729051272931
